"id", "from_vertex", "to_vertex", "jarak", "way_id"
"1", "1721121228", "1721121220", "0.0471349957771537", "160049418"
"2", "1720882603", "1720882648", "0.123586906743149", "160026637"
"3", "1724031709", "1724031707", "0.0548074355351352", "160352724"
"4", "1724031709", "1724031745", "0.156170227158513", "160352773"
"5", "1685007057", "1685006714", "0.0762365877134279", "156235671"
"6", "1719470073", "1719470048", "0.226341083761647", "159852074"
"7", "1719470073", "1719470133", "0.112719960514007", "159852209"
"8", "1687584098", "1687584180", "0.186618700649656", "156520129"
"9", "1687584098", "1512353413", "0.159412386081514", "137918476"
"10", "1721971791", "1721971751", "0.425303312817819", "160123425"
"11", "1721971791", "1721971790", "0.0399099900938884", "160123367"
"12", "1685009633", "1685009661", "0.123833090005597", "156236557"
"13", "1685009633", "1685010004", "0.0752598953366368", "156235931"
"14", "1719768529", "1719768599", "0.0374188473961388", "159914560"
"15", "1719768529", "1719768531", "0.0664998406730125", "159913931"
"16", "1723259098", "1723433540", "1.65322304825821", "160289366"
"17", "1685220094", "1685220134", "0.437478196181363", "156261194"
"18", "1685220094", "1685220098", "0.138006494349054", "28410220"
"19", "1719931210", "1719931226", "0.265677654631693", "159928647"
"20", "1687581058", "1687581002", "0.064354983897043", "156519928"
"21", "1687581058", "1687580873", "0.0603645249928594", "156520350"
"22", "1719519955", "1719519933", "0.0689027463893812", "159859099"
"23", "1719519955", "1719519939", "0.150003286160912", "159859076"
"24", "1722283771", "1722283777", "0.0368579487693358", "137774765"
"25", "1722283771", "1722283721", "0.270936682038907", "160160145"
"26", "1721189729", "1721189723", "0.0560283552187368", "160055970"
"27", "1721189729", "1721189734", "0.0272110291219734", "160056060"
"28", "1720978211", "1720978284", "0.0727191083495369", "160036502"
"29", "1719471008", "1719471036", "0.0601228626309066", "159852227"
"30", "1719471008", "1719470998", "0.0680285166716047", "159852123"
"31", "1722083367", "1722083456", "0.352352176874882", "160136850"
"32", "1722083367", "1722083366", "0.00920338622550106", "160136782"
"33", "1721841646", "1721841462", "0.0667765998340731", "160110920"
"34", "1724116802", "1724116780", "0.105680759060023", "160361293"
"35", "1724116802", "1724116861", "0.0502064214046075", "160361757"
"36", "1720772169", "1720799441", "0.0124475148945565", "28356350"
"37", "1722283788", "1510862929", "0.0648212859717072", "137774752"
"38", "1721015392", "1721015517", "0.25925641326786", "160040282"
"39", "1721015392", "1721015356", "0.155075631033143", "160040181"
"40", "1720977071", "1720977037", "0.0437704172924352", "160036320"
"41", "1723418874", "1723418911", "0.0776234520209873", "160287979"
"42", "1723418874", "1723418802", "0.18405385847105", "160288552"
"43", "1719684860", "1719684812", "0.0964570498600906", "159894320"
"44", "1685013779", "1685013726", "0.183089043824729", "25006111"
"45", "1722083596", "1687579718", "0.0535868628402837", "156520389"
"46", "1723416443", "1723416501", "0.0363359074554366", "160288325"
"47", "1724116219", "1724116197", "0.137094437279299", "160361426"
"48", "1687753089", "1687752684", "0.402765172461731", "156541838"
"49", "264874783", "264847939", "0.128093042744102", "24402229"
"50", "264874783", "1722846903", "0.224366908655576", "24402225"
"51", "1720906015", "1720906017", "0.0155567689425968", "160028920"
"52", "1719422170", "1719422178", "0.0518960352274916", "159844988"
"53", "1719470483", "1719470691", "0.23288053118456", "159852132"
"54", "1720870584", "1720870653", "0.302271192941154", "160025542"
"55", "1720870584", "1720870591", "0.0511318981324244", "160025692"
"56", "1720798956", "1720798978", "0.0506585104289883", "160015803"
"57", "1720798956", "1720798959", "0.154010153245004", "160015732"
"58", "1720694794", "1720694813", "0.0306906808866919", "122126067"
"59", "420401621", "420401660", "0.0440399814736416", "35966430"
"60", "1721067394", "1720870742", "0.262187943221869", "160025485"
"61", "1721067394", "1721067344", "0.214604513553726", "160045263"
"62", "1721814893", "1721814917", "0.0444947736865018", "160108868"
"63", "1721814893", "1721814895", "0.159889532971991", "160108765"
"64", "1720536514", "1720536511", "0.118558373306397", "159988638"
"65", "1720536514", "1720536610", "0.0739548167307596", "159989026"
"66", "1286232447", "271845183", "0.0703931690721161", "25006104"
"67", "1719963985", "1719963975", "0.158045534743214", "159931375"
"68", "1721886329", "1721886351", "0.327693841592282", "160117133"
"69", "1721886329", "1721886328", "0.0283699976021252", "160117139"
"70", "1720896282", "1720896265", "0.0722632400198938", "160027978"
"71", "1685221969", "1685221994", "0.0541215072746612", "156236545"
"72", "1722835557", "1722835547", "0.110586070735425", "160221983"
"73", "1722835557", "1722835574", "0.0903045258781274", "160221954"
"74", "1720978350", "1720978502", "0.242437618210112", "160036506"
"75", "1719770980", "1719770966", "0.150469370439599", "159914237"
"76", "1682378977", "1682379004", "0.0747002312353425", "155884873"
"77", "1682378977", "1682379000", "0.0949687901407207", "155884772"
"78", "1721174564", "1721174590", "0.0554386786000509", "160054695"
"79", "1720868860", "1720868830", "0.0541122651072875", "160025597"
"80", "1720868860", "1720869005", "0.0806410381329854", "160025478"
"81", "1720868020", "1720868245", "0.219014127536666", "160025475"
"82", "1720868020", "839609061", "0.0472795640083128", "70363878"
"83", "1723418885", "1723418913", "0.0724692144072848", "160288374"
"84", "1723418885", "1723418876", "0.0129628251474747", "160288546"
"85", "1724047991", "1724047876", "0.120105725814552", "160355542"
"86", "1724047991", "1724030755", "0.0451999891112417", "160352865"
"87", "1687580546", "1687580367", "0.135875558755481", "156519713"
"88", "1687580546", "266432600", "0.117044788053935", "156520180"
"89", "1721057448", "1721015089", "0.116279915200349", "160044219"
"90", "1721057448", "1721057451", "0.0753451040968898", "160044197"
"91", "1721014543", "1721014648", "0.140996552641078", "160040123"
"92", "1427832588", "1427834482", "0.0340052159499188", "129407038"
"93", "1427832588", "1427832561", "0.0418539029829337", "129407037"
"94", "1722989634", "1722989717", "0.103919756279703", "160235399"
"95", "1722989634", "1722989632", "0.0567232453009203", "160235409"
"96", "1723418876", "1723418857", "0.0562791475318184", "160288546"
