"id", "osm_id", "lat", "lon"
"113", "1724071558", "-7.3233319", "112.6367665"
"114", "1685013081", "-7.283902", "112.771513"
"115", "1722184774", "-7.2140197", "112.7759042"
"116", "1721876216", "-7.2513919", "112.7029787"
"117", "1682376058", "-7.2643027", "112.739867"
"118", "1719470551", "-7.3097976", "112.7578514"
"119", "1722165072", "-7.2370166", "112.7922303"
"120", "1719470093", "-7.3049524", "112.7406473"
"121", "1357523951", "-7.315542", "112.7945597"
"122", "1722294771", "-7.2099318", "112.7640168"
"123", "1091081038", "-7.2798106", "112.740947"
"124", "1721120961", "-7.2664417", "112.6635864"
"125", "1720976424", "-7.2889464", "112.7137595"
"126", "1724031712", "-7.339821", "112.6346935"
"127", "1719932113", "-7.3340465", "112.7847556"
"128", "1719932599", "-7.3380066", "112.7789499"
"129", "1720694305", "-7.3510146", "112.7872915"
"130", "1721175109", "-7.2624816", "112.6583767"
"131", "1427829387", "-7.3156179", "112.7901374"
"132", "1724031572", "-7.3375205", "112.6394398"
"133", "1719471036", "-7.3148077", "112.7444242"
"134", "1722246281", "-7.2320399", "112.7541841"
"135", "1722184287", "-7.2098194", "112.7739091"
"136", "1357866689", "-7.3131582", "112.7831399"
"137", "1719520017", "-7.3233604", "112.7379613"
"138", "1719578463", "-7.3278528", "112.7361162"
"139", "1722449212", "-7.2673924", "112.791945"
"140", "1720978436", "-7.3035457", "112.699841"
"141", "1719769736", "-7.3320569", "112.7759049"
"142", "1719767020", "-7.3220763", "112.7781825"
"143", "1719470435", "-7.308386", "112.7532201"
"144", "1722906864", "-7.306744", "112.7300088"
"145", "1720799615", "-7.2725062", "112.7055164"
"146", "1723042086", "-7.3535917", "112.7118181"
"147", "1517895707", "-7.3316039", "112.7230035"
"148", "1722049237", "-7.2181313", "112.7492718"
"149", "1720774511", "-7.2793056", "112.7278455"
"150", "1719579621", "-7.3409052", "112.7480857"
"151", "1720829784", "-7.2812294", "112.6926255"
"152", "1720838512", "-7.2643605", "112.6899441"
"153", "1720829531", "-7.2794513", "112.6950558"
"154", "1719519842", "-7.3188957", "112.7379621"
"155", "1357871236", "-7.3115807", "112.7976922"
"156", "1722184276", "-7.2097676", "112.7745703"
"157", "1724031163", "-7.3346692", "112.6408077"
"158", "1722049476", "-7.2298326", "112.757137"
"159", "1720642057", "-7.3544735", "112.7561246"
"160", "1723416334", "-7.3152019", "112.7082695"
"161", "1719509656", "-7.3190711", "112.7508376"
"162", "1722231213", "-7.2297485", "112.7358347"
"163", "1687753225", "-7.2387649", "112.7141055"
"164", "1427852569", "-7.3074577", "112.7654661"
"165", "1720978633", "-7.3052571", "112.7227349"
"166", "1720869749", "-7.2673026", "112.6803075"
"167", "1724048105", "-7.3341024", "112.6487697"
"168", "1685220035", "-7.2781001", "112.7386515"
"169", "1722467343", "-7.2630229", "112.8027138"
"170", "1724117249", "-7.3164887", "112.6803246"
"171", "1682377388", "-7.267004", "112.7808969"
"172", "1720773532", "-7.2770873", "112.722357"
"173", "1722164478", "-7.2293964", "112.7865842"
"174", "1722952368", "-7.3227922", "112.7172275"
"175", "1687581396", "-7.2519444", "112.7547226"
"176", "1720870464", "-7.273489", "112.6854204"
"177", "1719766228", "-7.3198933", "112.7905403"
"178", "1724071298", "-7.3183117", "112.6526473"
